click_id,session_id,campaign_id,click_date
1,191576,119575,2025-03-27
2,170762,128210,2025-03-17
3,161074,72146,2025-03-29
4,102476,164107,2025-03-09
5,135009,112307,2025-03-03
6,23717,65573,2025-03-01
7,117701,149243,2025-03-11
8,41906,114864,2025-03-25
9,44120,121106,2025-03-02
10,147135,20106,2025-03-22
11,98530,123204,2025-03-31
12,119280,103139,2025-03-26
13,51615,119486,2025-03-11
14,167108,188133,2025-03-15
15,37233,114614,2025-03-24
16,68775,54353,2025-03-28
17,33656,151261,2025-03-11
18,133922,85905,2025-03-06
19,30073,99486,2025-03-16
20,196970,130790,2025-03-28
21,101262,50693,2025-03-17
22,88357,149271,2025-03-04
23,96093,156430,2025-03-03
24,76212,127862,2025-03-04
25,148600,196292,2025-03-19
26,144991,29197,2025-03-20
27,173822,153853,2025-03-14
28,41788,20717,2025-03-26
29,19738,144467,2025-03-16
30,145157,176039,2025-03-15
